data,mandante,placar_m,placar_v,visitante,p_m,p_v,tc_m,tc_v,cg_m,cg_v,d_m,d_v,local,campeonato,links
2021-05-11,Flamengo,2,0,Atlético-GO,0.52,0.48,23,10,7,2,0.59,0.41,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204854
2021-03-11,Atlético-MG,2,1,Grêmio,0.53,0.47,15,14,4,5,0.55,0.46,Estadio Mineirão,Brasileirão Série A,/pt-br/match/2204848
2021-10-21,Internacional,1,1,Red Bull Bragantino,0.42,0.58,9,15,4,6,0.49,0.51,Estadio Beira-Rio,Brasileirão Série A,/pt-br/match/2204847
2021-10-20,Ceará,1,2,Palmeiras,0.47,0.53,14,12,5,5,0.38,0.62,Castelão,Brasileirão Série A,/pt-br/match/2204850
2021-09-22,São Paulo,0,0,América-MG,0.59,0.41,6,9,2,4,0.5,0.5,Estadio Cicero Pompeu de Toledo (Morumbi),Brasileirão Série A,/pt-br/match/2204853
2021-07-09,Chapecoense,1,2,Fluminense,0.55,0.45,11,9,3,2,0.46,0.54,Arena Condá,Brasileirão Série A,/pt-br/match/2204851
2021-07-09,Corinthians,1,1,Juventude,0.59,0.41,11,12,2,7,0.46,0.54,Neo Química Arena,Brasileirão Série A,/pt-br/match/2204852
2021-05-09,Athletico Paranaense,0,0,Sport Recife,0.59,0.41,16,9,3,2,0.57,0.43,Arena da Baixada,Brasileirão Série A,/pt-br/match/2204855
2021-04-09,Bahia,4,2,Fortaleza,0.4,0.6,13,18,8,6,0.41,0.59,Estádio Roberto Santos (Pituaçu),Brasileirão Série A,/pt-br/match/2204849
2021-04-09,Cuiabá,2,1,Santos,0.36,0.64,14,18,5,5,0.42,0.58,Arena Pantanal,Brasileirão Série A,/pt-br/match/2204856
2021-08-30,Fortaleza,0,0,Cuiabá,0.65,0.35,19,11,4,5,0.5,0.5,Castelão,Brasileirão Série A,/pt-br/match/2204840
2021-08-30,Fluminense,2,0,Bahia,0.48,0.52,6,10,4,2,0.43,0.58,Estadio do Maracanã,Brasileirão Série A,/pt-br/match/2204839
